"","Kecemasan","GM","EmoWLE","AmanWLE","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","MATHMEAN"
"283",2,2,-0.779,1.1246,433.491,395.231,413.612,367.636,383.412,415.629,387.929,393.615,400.167,371.011,396.1733
"284",2,3,0.2101,-0.756,294.801,356.252,298.917,308.278,349.948,308.449,355.972,372.463,296.677,338.319,328.0076
"285",3,3,0.7356,1.1246,299.689,343.327,331.276,276.151,280.568,320.194,334.868,339.352,314.451,285.434,312.531
"286",2,3,-0.4303,-0.756,378.474,330.159,343.473,377.248,359.788,317.347,364.602,326.787,385.503,343.293,352.6674
"287",2,2,0.2913,-0.756,475.027,469.489,434.007,462.775,467.943,447.132,462.657,455.159,463,487.376,462.4565
"289",3,4,0.9353,1.1246,309.063,380.155,414.414,340.867,299.494,333.37,339.739,321.187,377.724,361.062,347.7075
"290",2,2,-0.8355,-0.756,382.804,392.818,428.534,396.437,420.319,425.599,431.631,404.027,410.04,405.251,409.746
"291",2,2,-0.5723,-0.756,341.933,375.072,339.911,368.557,343.087,332.08,349.865,342.186,376.627,334.342,350.366
"292",2,2,-0.6149,-0.756,311.096,273.712,300.933,346.537,324.067,293.514,347.875,361.63,313.113,335.87,320.8347
"293",2,4,-0.067,-0.756,334.651,417.19,339.856,367.983,380.845,367.55,417.31,330.194,398.845,383.912,373.8336
"294",2,3,-1.1203,-0.756,392.515,304.353,390.408,357.836,366.048,332.281,336.623,359.379,341.32,376.297,355.706
"296",3,2,-1e-04,-0.756,483.309,439.474,451.921,505.084,462.936,490.785,477.105,484.062,485.618,477.46,475.7754
"297",2,3,-0.6541,0.2938,292.109,324.935,293.328,302.872,256.693,330.218,268.551,324.162,242.209,300.356,293.5433
"298",3,1,0.6959,1.1246,288.821,267.332,312.079,332.62,298.327,311.063,311.171,340.582,324.824,281.605,306.8424
"299",2,3,-0.4761,1.1246,425.233,411.761,378.791,368.919,431.391,443.727,399.926,387.275,409.316,385.853,404.2192
"300",2,2,0.2394,-0.756,396.63,404.937,379.482,427.367,432.72,409.486,444.337,416.712,390.378,428.865,413.0914
