"","GM","EmoWLE","AmanWLE","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","MATHMEAN"
"1500",2,0.2583,-0.756,485.812,512.013,477.833,518.036,512.081,494.164,494.558,500.295,485.237,501.236,498.1265
"1501",3,0.124,-0.756,323.993,286.275,321.624,328.408,291.029,362.751,341.953,294.661,314.569,303.871,316.9134
"1502",3,-2.6292,1.1246,451.974,436.485,411.292,418.529,469.781,444.469,433.939,404.501,433.238,448.919,435.3127
"1504",3,-0.2101,-0.756,392.635,440.38,423.682,391.885,387.194,417.195,362.991,430.71,402.127,443.408,409.2207
"1505",3,-0.3594,-2.7886,340.787,322.41,323.274,312.537,330.253,392.992,351.609,353.505,322.983,310.424,336.0774
"1506",4,-0.7197,0.1368,313.25,331.948,368.382,321.707,351.716,334.352,343.995,317.397,299.479,294.722,327.6948
"1507",3,-0.4159,-0.756,394.282,405.615,413.428,414.657,382.537,415.886,404.058,455.252,421.147,437.358,414.422
"1508",4,0.1524,1.1246,359.547,365.066,422.267,395.921,371.376,381.045,382.41,417.58,378.862,385.42,385.9494
"1509",1,1.0576,1.1246,350.493,358.939,430.887,376.27,372.99,380.474,446.489,396.538,416.082,360.059,388.9221
"1510",3,0.4633,0.4417,398.621,424.219,432.889,413.288,457.47,434.904,429.797,409.07,384.61,400.456,418.5324
"1511",3,-0.7638,-1.1042,416.982,447.099,386.806,396.642,432.173,423.654,409.445,450.858,427.395,387.599,417.8653
"1512",3,-0.0998,-0.756,432.333,357.562,376.9,348.479,364.746,388.395,375.283,374.021,355.259,380.952,375.393
"1513",2,0.585,-0.756,408.666,406.541,365.391,381.408,363.689,417.173,367.311,407.199,411.082,358.036,388.6496
"1514",3,0.054,-0.756,319.519,336.261,324.786,367.196,305.852,356.208,314.066,366.869,315.109,308.114,331.398
"1515",3,0.0929,1.1246,304.901,323.622,327.673,351.789,337.024,328.896,324.203,301.744,263.817,304.616,316.8285
"1516",2,-0.2357,-0.756,435.943,468.135,466.395,507.466,498.29,505.736,477.904,492.086,462.492,520.4,483.4847
"1518",3,0.0035,-1.1042,407.316,396.648,427.104,418.053,418.737,416.787,393.356,406.87,399.203,413.905,409.7979
"1519",3,-0.2946,-0.756,358.24,343.055,348.533,357.996,368.847,346.03,397.331,326.787,326.726,387.424,356.0969
"1520",3,-0.0697,-0.756,385.049,386.759,433.77,400.39,365.746,372.42,433.866,427.773,360.67,392.207,395.865
"1521",2,0.4731,-0.039,494.876,466.784,490.989,517.852,495.895,522.045,540.679,482.494,498.661,464.554,497.4829
"1522",3,-0.4349,1.1246,385.714,376.877,375.093,406.837,385.357,382.392,365.692,398.961,361.2,372.449,381.0572
"1524",3,-0.6205,0.3221,405.384,411.484,429.363,409.587,415.878,470.096,422.233,406.922,441.348,452.62,426.4915
"1525",3,0.6212,-1.3019,463.212,487.055,466.512,472.227,455.274,451.367,486.625,466.05,488.043,499.091,473.5456
"1526",3,0.8037,1.1246,355.828,365.476,354.215,367.643,367.647,345.983,376.271,357.705,377.3,326.246,359.4314
"1527",3,-0.3551,-0.756,353.458,264.995,292.809,361.882,352.721,331.379,362.649,369.439,348.837,359.394,339.7563
"1528",3,0.1944,-0.756,383.853,368.593,385.912,355.396,397.989,350.993,354.069,373.715,351.856,403.095,372.5471
"1529",3,-0.2474,-0.756,351.358,381.549,349.079,352.255,385.197,383.648,358.824,356.809,355.852,325.946,360.0517
"1530",3,0.4076,0.4417,354.172,335.774,367.852,356.465,316.437,328.908,325.434,358.252,350.223,399.262,349.2779
"1532",3,-0.2665,-0.039,455.319,478.51,416.703,470.177,453.559,444.251,488.077,456.223,467.384,447.09,457.7293
"1534",3,0.0547,0.2852,330.991,366.671,372.947,346.78,409.146,384.745,397.687,365.319,392.71,382.091,374.9087
"1535",3,-2.3757,-0.039,386.212,382.526,373.773,383.212,394.719,383.627,371.855,347.702,355.752,355.318,373.4696
"1536",4,-0.7475,-1.9603,335.176,333.987,297.466,289.191,303.528,324.395,365.525,291.357,310.907,325.16,317.6692
"1537",1,2.1305,1.1246,365.685,391.27,320.55,380.925,323.235,368.398,376.119,358.129,319.727,357.135,356.1173
"1538",4,-0.3065,0.4938,523.918,493.25,444.542,422.175,464.56,467.96,474.887,461.588,462.515,486.115,470.151
"1539",3,0.2762,-0.756,431.709,396.607,429.259,462.752,439.71,427.941,469.664,398.671,436.346,427.536,432.0195
"1540",3,-0.6584,1.1246,443.487,402.337,437.051,408.299,401.001,437.537,400.004,408.797,394.179,423.316,415.6008
"1541",3,0.3,-0.756,447.345,437.768,463.171,441.634,431.673,442.032,439.226,446.905,426.027,420.101,439.5882
"1542",3,0.0285,-1.1042,238.668,222.521,248.092,266.688,261.81,263.724,267.707,278.22,260.327,236.796,254.4553
"1543",3,-0.634,0.6942,332.594,332.398,338.988,328.556,371.458,323.722,326.511,337.446,347.539,339.956,337.9168
"1544",3,-0.2474,-0.756,360.135,331.713,362.857,370.445,380.735,340.563,345.596,414.008,285.482,334.448,352.5982
"1545",3,-0.3189,1.1246,349.978,343.585,363.641,374.449,360.239,394.267,425.472,347.375,408.806,392.792,376.0604
"1546",3,0.5897,-0.756,336.318,344.277,387.764,365.134,351.932,350.042,347.553,357.765,357.552,362.36,356.0697
"1547",2,0.0563,-0.756,461.996,448.278,468.414,452.758,455.889,468.553,441.561,454.946,508.003,467.753,462.8151
"1548",2,0.8364,-0.3283,350.609,285.597,350.815,259.27,277.084,287.278,292.353,300.376,254.467,270.999,292.8848
"1549",2,0.0803,-0.756,320.307,346.332,330.485,360.142,357.587,319.659,352.243,411.143,335.933,380.886,351.4717
"1550",2,-0.4413,-0.756,328.796,366.668,367.921,362.272,356.617,338.511,345.603,341.987,353.814,323.59,348.5779
"1551",3,-0.7475,-0.756,321.748,331.888,323.392,359.731,302.372,343.588,385.411,344.07,374.338,268.243,335.4781
"1553",2,0.1513,-0.756,334.818,340.268,329.853,321.418,311.154,321.748,339.408,359.018,356.122,312.216,332.6023
"1554",1,0.4493,-0.756,593.443,518.72,541.393,530.842,534.64,566.108,538.841,525.613,548.597,542.987,544.1184
"1555",3,-0.477,-0.756,554.28,552.101,556.717,536.747,507.527,533.086,554.884,519.184,479.059,574.468,536.8053
"1556",2,-0.5679,-0.756,473.489,468.103,469.442,429.508,482.09,460.969,444.654,487.41,481.86,466.3,466.3825
"1557",2,0.0555,0.4417,434.431,460.204,413.398,452.626,442.225,444.751,433.874,413.068,435.823,427.342,435.7742
"1558",3,-0.4669,-0.756,327.236,369.073,359.62,328.66,366.82,361.815,354.02,294.921,375.628,350.694,348.8487
"1559",3,1.1422,1.1246,352.223,350.353,315.654,316.65,329.406,344.558,328.075,323.031,362.698,335.566,335.8214
"1561",3,-0.0321,-0.756,305.244,290.789,280.201,304.317,272.84,333.498,324.643,338.79,354.381,336.92,314.1623
"1562",3,0.0966,1.1246,471.322,485.287,458.659,455.048,464.711,447.371,430.288,462.221,476.577,485.474,463.6958
"1563",3,0.2482,-1.1042,315.353,325.341,327.853,304.625,383.066,348.691,336.033,355.144,351.369,305.494,335.2969
"1564",3,-0.8828,-0.756,307.856,329.208,342.036,316.95,302.677,324.56,337.962,332.262,329.484,366.048,328.9043
"1565",2,-0.1744,1.1246,363.544,359.403,406.707,396.109,400.539,400.543,389.101,382.459,418.87,378.841,389.6116
"1566",2,0.1111,-0.756,420.094,435.034,392.467,404.073,387.589,437.68,411.937,380.683,440.9,381.019,409.1476
"1568",2,-1.0382,-0.756,496.806,526.325,510.265,505.886,462.401,468.756,529.125,480.391,486.607,490.76,495.7322
"1569",3,-0.3003,-0.756,434.751,390.073,445.645,480.984,442.376,427.846,410.104,455.897,415.983,421.033,432.4692
"1570",3,-0.7987,-1.1042,389.964,369.386,321.291,374.859,370.596,368.343,366.434,386.377,362.448,380.987,369.0685
"1571",4,-1.8424,-1.1042,348.972,339.256,365.878,358.049,401.269,395.526,369.481,384.52,375.188,373.577,371.1716
"1572",2,-0.7712,0.6942,431.557,403.171,428.359,408.358,421.842,412.862,412.206,446.938,401.248,425.749,419.229
"1573",3,-1.8581,0.4836,350.259,381.75,367.597,363.162,355.677,348.059,373.128,414.4,406.406,379.521,373.9959
"1574",3,-0.3478,-0.756,367.002,349.88,398.529,374.807,345.515,394.983,346.883,354.328,358.587,355.809,364.6323
"1575",1,-1.0072,1.1246,263.837,313.638,262.388,276.359,320.945,297.779,286.33,301.509,276.8,266.401,286.5986
"1577",3,-0.737,-0.756,335.966,366.164,323.962,355.798,354.785,353.129,352.92,308.939,362.417,306.531,342.0611
"1578",2,-0.1411,-1.7615,284.084,296.317,332.105,300.261,239.231,264.505,279.071,275.363,240.401,293.252,280.459
"1579",3,-0.2526,-0.3481,394.367,344.431,406.729,420.557,424.245,420.908,369.409,382.031,387.556,391.713,394.1946
"1580",3,0.0506,-0.756,314.936,351.119,352.475,336.961,400.19,329.766,350.177,353.451,356.333,322.577,346.7985
"1582",4,-0.7388,-0.2044,351.209,385.123,355.846,432.747,372.527,363.607,380.959,356.193,372.379,360.97,373.156
"1584",3,-1.2275,-0.756,398.601,402.974,417.855,407.229,443.992,448.929,431.235,462.237,407.068,437.254,425.7374
"1585",2,0.702,0.1413,368.71,372.385,319.512,336.549,357.704,349.292,331.162,354.563,376.373,319.479,348.5729
"1586",3,0.131,-1.1042,386.208,400.695,367.974,383.474,304.771,385.875,364.827,329.71,400.836,321.223,364.5593
"1587",2,-0.8529,-2.7886,530.374,524.48,490.735,501.468,536.927,478.052,516.521,522.865,479.294,512.858,509.3574
"1588",3,0.2121,-0.756,374.221,343.364,348.908,353.082,377.184,409.894,346.736,356.678,325.912,351.345,358.7324
"1589",3,0.2437,-0.756,451.459,374.876,409.473,413.413,409.901,433.741,437.736,400.805,401.497,397.946,413.0847
"1590",1,0.5461,1.1246,340.394,354.12,361.964,366.698,348.597,368.494,395.304,339.638,339.408,310.709,352.5326
"1591",2,-0.169,1.1246,334.375,384.406,368.451,407.305,356,331.365,415.187,368.91,361.238,403.159,373.0396
"1592",3,0.531,-0.756,264.122,306.865,296.446,358.196,296.868,317.482,297.386,309.898,341.265,306.525,309.5053
"1593",4,-0.2969,0.1413,433.543,472.471,459.555,436.113,432.302,461.992,431.989,460.025,482.267,448.95,451.9207
"1594",1,-0.3468,0.6942,360.509,389.319,401.868,443.19,405.352,400.986,412.349,416.267,393.026,383.804,400.667
"1595",3,-0.7373,-1.4563,450.253,453.414,452.638,446.33,431.824,425.022,468.489,465.701,430.55,442.353,446.6574
"1596",4,-0.4052,-1.4563,332.373,332.742,286.783,337.953,370.319,331.386,297.996,288.071,279.399,344.281,320.1303
"1597",3,0.2333,1.1246,395.319,390.789,400.87,438.551,422.671,416.048,367.023,423.253,397.711,382.061,403.4296
"1598",3,0.4654,-0.756,324.042,312.973,350.233,363.443,336.258,369.709,368.241,345.05,325.047,365.006,346.0002
"1599",3,0.0358,1.1246,392.473,429.974,405.894,401.224,420.224,423.293,432.967,393.841,385.83,372.394,405.8114
"1600",3,-0.8164,-0.756,339.233,351.226,318.076,287.702,314.498,311.929,292.78,318.041,354.782,266.258,315.4525
"1601",2,0.1139,0.6942,458.762,470.123,418.953,441.701,435.805,393.815,424.801,401.122,459.011,444.871,434.8964
"1602",3,-0.1477,-0.756,383.838,422.21,376.857,418.74,348.461,385.779,383.864,354.472,391.055,451.249,391.6525
"1603",2,0.1093,0.6942,423.016,400.917,391.028,413.374,457.833,427.905,443.925,427.587,401.464,426.159,421.3208
"1604",2,-2.3015,-0.756,475.413,495.928,439.239,460.561,440.337,444.587,433.828,462.958,447.279,465.183,456.5313
"1605",3,-0.4377,-0.756,260.418,252.754,276.599,314.862,272.824,273.031,261.211,312.841,287.554,308.365,282.0459
"1606",3,0.8061,1.1246,411.995,377.929,419.281,411.735,341.159,400.292,375.477,388.355,396.276,362.313,388.4812
"1608",2,-0.1158,-0.756,469.959,498.642,470.042,469.801,465.58,452.897,479.262,492.402,471.814,506.51,477.6909
"1609",1,0.054,-0.756,374.101,412.334,405.943,422.399,408.171,406.581,433.205,406.854,387.295,401.825,405.8708
"1610",4,0.1267,1.1246,372.555,442.686,413.339,372.521,391.076,422.354,381.896,416.061,426.298,441.981,408.0767
"1611",4,-2.1028,-1.2939,389.933,380.258,364.661,452.623,419.522,449.593,395.562,392.16,396.029,429.323,406.9664
"1614",2,-0.3506,1.1246,481.026,451.552,452.216,480.056,477.653,488.43,487.821,508.685,449.372,491.312,476.8123
"1615",2,-0.8278,-0.756,537.962,509.57,547.262,530.094,503.578,524.314,489.589,540.538,542.236,490.068,521.5211
"1616",4,-0.217,-1.1042,336.237,381.425,378.548,364.403,381.659,371.058,343.595,392.25,324.366,342.651,361.6192
"1617",2,0.5677,-0.756,374.683,347.129,379.547,382.968,335.575,403.979,399.378,419.219,353.009,374.017,376.9504
"1618",3,0.1954,-0.756,361.738,373.442,369.461,346.429,358.696,331.002,367.383,345.897,371.904,361.591,358.7543
"1619",1,1.0408,1.1246,205.438,200.913,275.745,256.208,253.532,158.928,246.728,184.469,212.492,219.27,221.3723
"1620",3,0.335,-0.756,374.109,367.421,329.122,367.569,360.569,386.209,347.184,402.112,334.77,377.37,364.6435
"1622",3,-0.6766,-0.756,360.65,363.457,327.168,386.596,351.827,339.885,388.574,397.132,341.082,349.465,360.5836
"1623",1,-0.0939,-0.756,369.668,380.04,369.918,358.778,368.352,354.243,368.685,354.022,331.516,317.443,357.2665
"1624",3,-0.7016,-0.756,360.55,358.873,342.527,288.23,347.08,373.05,309.397,338.513,326.009,351.625,339.5854
"1625",3,-0.7287,-0.0918,329.49,332.727,328.351,387.394,346.467,360.763,348.961,338.99,383.583,347.152,350.3878
"1626",2,1.1026,-0.0918,371.15,327.892,375.188,344.361,350.622,368.298,390.59,350.975,364.544,397.304,364.0924
"1627",2,-1.5169,-0.756,449.292,424.674,416.71,383.035,422.645,418.64,418.39,426.342,431.996,423.006,421.473
"1628",3,-0.3146,-0.756,342.222,374.991,417.418,403.607,414.877,418.893,420.322,369.534,376.67,386.548,392.5082
"1629",2,-0.733,-0.039,437.223,401.017,489.508,435.377,467.489,416.465,442.449,423.229,392.82,435.769,434.1346
"1630",2,-0.8322,-1.1042,349.149,371.117,368.752,341.502,340.258,348.56,329.989,360.539,364.629,349.867,352.4362
"1631",3,-0.3128,0.1368,532.666,523.514,507.909,540.557,487.783,503.219,555.984,495.231,527.211,528.531,520.2605
"1632",4,-1.2586,1.1246,327.752,302.901,378.571,312.505,323.378,323.393,304.941,341.726,368.606,299.785,328.3558
"1633",3,-0.0323,-0.756,312.441,343.792,296.507,351.877,338.712,300.432,363.786,309.628,273.832,310.748,320.1755
"1634",2,-2.7472,-0.756,500.376,473.49,491.111,516.326,505.819,467.836,437.197,495.732,531.232,521.843,494.0962
"1635",3,0.189,-0.756,361.347,368.12,354.001,319.834,326.505,330.808,344.599,312.64,319.342,363.239,340.0435
"1636",4,-0.859,0.3308,333.299,358.015,358.2,329.498,344.584,345.361,330.59,351,411.088,414.532,357.6167
"1637",1,-0.3726,-0.039,546.186,566.282,542.992,542.024,541.981,560.947,535.529,576.557,531.575,567.731,551.1804
"1638",3,-0.4646,-0.756,358.488,346.2,343.429,322.116,330.142,366.596,356.77,345.851,343.309,327.611,344.0512
"1639",3,-0.9608,-0.756,370.069,364.212,344.078,374.331,357.27,374.236,371.696,370.701,387.418,397.309,371.132
"1640",3,-0.0584,1.1246,366.697,357.589,386.64,355.302,352.932,367.366,370.509,349.564,349.486,362.043,361.8128
"1641",3,0.2353,-0.756,313.715,353.086,343.298,351.583,364.716,337.973,340.375,329.912,332.134,370.347,343.7139
"1642",2,-1.0809,-1.3019,476.94,482.912,457.504,532.091,447.199,503.438,510.573,480.923,458.85,522.967,487.3397
"1643",3,-0.593,-0.756,323.474,380.831,361.332,319.14,340.127,340.221,338.879,372.057,342.844,373.131,349.2036
"1644",3,0.9988,-0.756,331.728,358.853,353.233,356.953,362.219,369.204,374.732,308.58,364.385,322.017,350.1904
"1645",2,-0.7883,-1.5326,391.927,337.121,373.853,364.342,320.215,349.816,326.102,380.55,348.069,313.508,350.5503
"1646",2,0.347,-0.756,353.425,342.927,325.972,359.618,315.458,337.981,330.735,344.771,324.532,368.027,340.3446
"1647",1,0.0702,-0.756,308.68,296.452,324.433,322.073,280.715,248.092,339.954,303.951,294.069,270.557,298.8976
"1650",3,0.8415,-0.756,338.77,337.947,334.721,339.441,351.746,296.085,366.434,322.049,299.452,312.878,329.9523
"1651",3,-0.337,-0.756,344.94,304.529,275.357,338.348,300.522,372.473,336.929,321.075,304.537,312.018,321.0728
"1652",3,-0.7616,-0.756,365.002,431.816,406.908,420.937,417.967,415.5,408.154,391.278,401.417,392.907,405.1886
"1653",2,-0.0796,-0.756,421.586,395.718,378.745,398.251,394.253,426.503,433.669,403.923,428.976,419.75,410.1374
"1654",2,-0.4693,0.0877,398.682,339.757,378.676,385.335,330.752,372.946,391.204,364.98,393.279,330.729,368.634
"1655",2,0.0566,-0.756,392.36,364.131,353.435,364.316,350.88,348.37,400.059,395.067,363.97,370.159,370.2747
"1656",2,0.7804,-0.756,358.463,348.917,339.169,350.733,383.991,355.875,348.062,362.813,398.836,368.243,361.5102
"1657",3,0.3121,1.1246,357.048,375.451,415.711,382.012,388.638,402.391,375.254,420.736,387.632,364.562,386.9435
"1658",3,-0.0947,-0.756,330.266,337.516,294.208,298.912,328.818,366.515,288.259,266.528,298.507,274.815,308.4344
"1659",3,-0.622,-1.5326,415.324,491.892,433.628,424.335,477.074,460.958,426.734,414.836,457.667,479.201,448.1649
"1660",2,0.4916,1.1246,546.019,544.168,501.681,506.516,486.312,502.108,478.42,578.442,534.203,559.723,523.7592
"1661",3,0.5374,-0.756,344.325,402.577,387.935,344.511,364.098,372.923,361.567,407.936,367.597,389.103,374.2572
"1662",4,0.1343,0.1368,464.16,485.727,473.343,483.182,452.211,466.975,481.517,476.28,464.561,459.691,470.7647
"1663",3,-0.77,0.4417,472.147,422.85,473.348,428.4,449.288,400.662,439.441,409.111,451.161,463.352,440.976
"1664",2,-1.5062,0.4014,315.299,310.283,245.406,276.741,314.688,321.215,276.334,277.86,245.721,281.454,286.5001
"1665",2,0.1087,1.1246,313.016,291.687,289.045,301.995,278.53,280.522,345.633,251.131,247.674,310.565,290.9798
"1666",3,0.028,-0.756,436.625,451.686,422.15,463.808,398.743,435.392,461.506,462.056,450.951,426.283,440.92
"1667",1,-0.8656,-0.756,367.641,362.788,366.604,357.524,370.287,357.238,335.999,357.525,335.198,341.442,355.2246
"1668",2,-0.6313,-1.16,341.873,315.912,299.727,330.698,334.437,346.962,322.271,281.821,331.618,328.129,323.3448
"1669",2,-0.8421,-0.756,455.179,476.666,445.343,457.869,483.019,453.584,458.07,500.076,440.385,483.103,465.3294
"1671",3,-0.6722,-0.756,441.838,417.381,413.709,405.593,452.187,430.791,429.182,431.656,453.647,451.983,432.7967
"1672",2,0.0514,-0.756,351.069,357.815,314.98,350.509,360.493,330.734,353.238,326.527,331.067,333.804,341.0236
"1673",2,0.7234,1.1246,378.983,268.254,314.368,339.142,315.551,323.748,290.553,266.4,309.382,324.69,313.1071
"1675",3,-0.3237,-0.756,387.79,338.707,375.441,386.554,402.523,381.44,389.371,371.782,346.249,386.669,376.6526
"1676",3,0.3669,-0.756,330.936,303.106,316.924,331.02,333.38,304.232,262.56,278.982,271.979,333.01,306.6129
"1677",4,0.038,1.1246,419.6,460.52,453.34,428.919,424.861,421.273,433.472,433.966,461.492,446.152,438.3595
"1678",3,0.0608,-1.1042,285.66,275.871,271.795,261.733,321.336,270.307,288.727,213.543,254.731,304.253,274.7956
"1679",2,0.3897,0.4938,335.018,235.959,286.882,260.255,281.652,302.175,314.118,299.485,291.475,276.402,288.3421
"1681",3,0.1627,0.1368,385.029,360.199,449.121,413.792,357.879,393.047,382.346,421.819,359.729,408.008,393.0969
"1682",2,1.0093,0.4417,453.399,459.98,460.841,418.945,430.435,423.405,439.774,439.313,461.294,391.143,437.8529
"1683",1,0.1974,-0.756,296.734,339.444,314.524,340.099,327.393,282.647,332.846,272.211,322.781,345.273,317.3952
"1684",3,-0.6591,0.6942,337.385,366.608,343.014,332.382,345.728,353.228,368.779,338.967,318.236,321.811,342.6138
"1685",3,0.6972,0.0877,348.407,367.684,361.49,348.889,347.033,350.069,355.945,351.117,350.929,341.031,352.2594
"1686",2,-0.0297,-0.756,326.109,345.714,327.058,322.628,362.846,299.586,317.963,321.91,322.148,343.175,328.9137
"1688",4,-0.7359,-0.756,460.666,388.043,415.555,440.339,405.793,424.793,436.141,378.14,420.2,399.442,416.9112
"1689",3,-0.2955,1.1246,352.221,311.37,369.001,318.231,354.865,294.798,334.475,348.364,313.446,328.516,332.5287
"1690",3,0.0555,-1.7615,367.053,311.17,340.473,315.52,384.366,336.173,354.565,307.62,342.956,369.598,342.9494
"1691",2,-0.1448,-0.756,405.715,392.205,323.441,406.263,408.08,426.826,395.48,415.13,360.849,403,393.6989
"1692",2,-0.1345,1.1246,364.937,273.733,330.645,283.997,325.631,290.141,271.183,339.204,317.337,303.094,309.9902
"1693",3,-0.7372,-0.756,399.086,416.283,389.764,422.217,393.897,382.281,429.798,374.991,351.991,388.548,394.8856
"1694",3,-0.2184,-0.756,346.92,346.292,336.572,336.638,333.973,352.413,317.27,297.404,360.978,339.589,336.8049
"1695",2,-0.6198,-1.1042,406.265,367.293,346.652,361.639,349.817,311.677,354.543,321.869,355.006,269.103,344.3864
"1696",2,0.8869,-2.1927,465.017,426.6,401.437,414.73,492.495,466.472,417.624,459.308,470.124,437.657,445.1464
"1697",3,-0.0929,-0.756,362.757,290.975,335.231,371.456,335.651,343.156,337.798,367.23,347.099,357.129,344.8482
"1698",3,-1.1752,0.1329,354.537,375.708,373.046,366.894,353.715,378.354,409.227,371.864,380.101,403.867,376.7313
"1699",3,0.2001,-0.756,361.909,318.293,300.945,328.582,345.543,362.941,319.221,346.294,401.083,385.39,347.0201
"1700",2,-0.3251,-0.756,233.846,314.011,290.996,331.594,348.484,334.03,279.347,288.294,339.748,303.497,306.3847
"1701",4,-1.1155,-2.7886,318.019,260.637,258.477,289.727,308.671,245.687,273.117,298.164,287.484,273.828,281.3811
"1702",3,0.1743,-0.756,449.327,436.808,422.379,393.783,431.719,430.723,451.081,399.153,439.344,441.515,429.5832
"1703",2,-0.1792,-0.756,310.154,336.463,343.292,354.629,341.465,308.833,312.848,305.884,358.118,382.923,335.4609
"1704",3,0.5504,-0.756,327.586,369.94,361.178,348.815,318.763,318.085,363.575,324.268,306.818,362.372,340.14
"1705",3,0.1348,-0.756,324.12,419.724,341.189,374.835,380.371,370.775,321.613,304.871,369.873,340.622,354.7993
"1706",3,-0.8321,-0.756,374.965,316.28,377.894,358.269,319.435,320.483,365.375,352.203,341.617,381.565,350.8086
"1707",4,-2.1019,-0.756,485.813,438.293,430.897,391.944,460.272,426.389,421.813,448.674,461.455,385.114,435.0664
"1708",3,0.8048,-0.756,331.642,332.603,313.889,361.629,343.666,339.812,344.853,331.217,370.353,364.067,343.3731
"1709",3,-0.3552,-0.756,355.019,337.345,329.26,292.821,301.312,323.138,312.157,296.139,374.737,312.943,323.4871
"1710",3,-0.4732,-1.1042,303.125,302.208,331.696,298.125,323.882,285.963,303.275,359.62,302.312,281.914,309.212
"1711",2,0.8061,1.1246,312.359,330.164,342.333,281.501,318.189,293.34,347.096,294.797,325.51,335.428,318.0717
"1712",3,0.32,-0.0323,378.593,373.232,368.52,336.32,377.508,346.06,382.031,318.85,393.511,361.848,363.6473
"1713",1,0.4357,-1.9603,357.655,388.501,373.737,362.859,359.81,366.163,356.763,308.206,355.987,356.231,358.5912
"1716",3,0.0586,0.4417,365.894,379.8,331.444,396.572,345.793,337.297,340.071,307.407,372.181,334.994,351.1453
"1717",3,-1.0113,-0.756,334.979,373.552,338.637,367.392,375.006,314.759,370.138,340.366,317.079,346.685,347.8593
"1718",2,0.3993,-0.039,363.348,351.426,384.971,428.373,378.798,402.175,370,359.923,374.498,361.824,377.5336
"1719",2,-0.3097,-0.756,446.809,439.572,438.278,455.668,466.945,471.841,440.594,436.152,439.936,436.985,447.278
"1720",2,-1.0264,0.4417,405.442,399.14,354.387,411.514,380.599,367.414,384.874,419.482,406.414,361.898,389.1164
"1721",3,-0.3357,-0.756,403.58,460.126,420.181,438.646,413.118,439.221,411.781,493.437,426.227,442.634,434.8951
"1722",3,0.1058,-0.756,333.411,342.572,351.194,344.511,338.4,337.798,350.136,316.878,308.451,345.459,336.881
"1723",3,-0.1156,0.6942,354.325,351.69,373.617,350.952,348.195,383.679,371.009,375.687,347.064,386.92,364.3138
"1724",3,-0.3015,-0.756,386.416,430.783,352.505,375.678,431.808,381.985,376.25,368.158,409.877,387.645,390.1105
"1725",4,-1.5959,0.6342,499.03,469.824,490.05,476.689,472.485,505.251,518.928,468.144,518.274,512.827,493.1502
"1726",2,-0.1158,0.4417,580.466,575.329,540.102,545.812,534.432,525.246,498.375,565.563,522.53,539.856,542.7711
"1727",3,-0.6564,0.6942,349.269,360.123,393.304,363.502,409.978,338.446,355.519,340.664,302.478,388.409,360.1692
"1728",3,-0.383,1.1246,541.294,557.198,566.106,582.366,532.592,524.621,544.253,529.651,541.609,526.614,544.6304
"1729",3,-0.0665,-0.756,307.536,288.99,331.792,340.179,307.653,286.829,311.737,265.095,300.32,263.999,300.413
"1730",3,-0.6274,-0.756,357.756,362.388,340.973,324.424,300.06,346.257,376.785,327.107,354.838,301.071,339.1659
"1731",2,-0.5879,1.1246,311.212,300.719,318.74,300.006,359.183,392.783,364.775,370.079,375.077,362.945,345.5519
"1732",1,2.0503,-1.3894,264.155,244.784,235.739,293.603,273.777,280.608,257.858,252.394,233.415,247.106,258.3439
"1734",3,0.475,-0.756,357.101,341.226,363.864,390.269,373.437,301.398,334.517,364.332,351.176,354.001,353.1321
"1735",3,0.9791,-1.15,279.412,324.342,279.865,268.026,301.221,312.355,339.961,315.031,347.252,278.684,304.6149
"1736",3,-1.246,-1.466,407.888,388.468,388.43,428.783,402.206,382.268,401.324,398.503,385.694,409.014,399.2578
"1737",3,-0.6766,-0.756,418.045,399.236,382.807,438.392,418.231,395.731,400.546,414.37,403.222,406.715,407.7295
"1738",3,0.3094,-1.15,252.327,228.653,309.712,286.594,246.04,263.603,248.526,257.907,195.483,277.356,256.6201
"1739",2,-0.4948,-0.756,406.958,407.029,396.76,403.126,405.933,422.598,403.755,410.329,370.16,440.686,406.7334
"1740",3,0.5504,-0.756,427.879,392.558,370.504,428.56,377.222,423.283,393.741,389.067,394.807,378.357,397.5978
"1741",4,0.6865,-2.7886,359.391,384.454,352.312,366.691,375.472,440.545,415.517,410.468,345.352,382.982,383.3184
"1743",3,-1.8418,-0.756,464.161,441.105,424.429,463.988,449.243,504.334,441.172,447.259,447.993,441.174,452.4858
"1744",2,0.0931,-0.039,457.893,445.992,439.09,455.692,442.4,447.529,500.753,429.566,460.358,478.012,455.7285
"1745",2,-0.519,-0.756,390.314,385.067,423.348,389.307,413.408,380.828,372.178,398.285,378.382,369.131,390.0248
"1746",3,-0.2676,0.6342,350.634,359.535,337.797,341.051,360.591,341.467,361.371,322.634,347.743,316.978,343.9801
"1747",2,-0.6798,-0.756,341.922,305.727,325.753,335.267,359.563,325.414,352.565,295.956,326.241,329.887,329.8295
"1748",3,-0.7193,-0.756,401.395,378.043,378.966,376.072,380.052,382.512,416.021,400.748,381.354,389.8,388.4963
"1749",2,0.2166,-0.756,468.987,427.408,449.779,470.392,458.875,474.896,508.733,456.565,488.978,446.203,465.0816
"1750",2,-0.3208,1.1246,376.843,359.996,365.112,311.545,325,337.644,371.138,383.768,337.847,374.743,354.3636
