"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"308",4,2,-0.7737,-0.756,465.3221
"309",6,2,0.2055,-0.756,379.9208
"311",4,3,0.8121,-0.756,412.7075
"312",5,3,0.3192,-0.0842,301.3704
"313",4,3,-0.2016,-1.3019,382.5805
"316",4,3,-0.2358,-1.4414,307.8237
"320",8,4,1.6379,-0.756,415.1292
"322",6,3,0.1893,0.1368,365.1752
"324",4,3,-0.4056,1.1246,388.5408
"325",3,1,-0.7936,0.0877,462.9437
"327",3,2,0.1638,-0.756,365.9119
"330",5,3,-1.3374,-0.756,411.5095
"331",5,3,-1.2169,-1.1042,434.1433
"332",4,2,0.8782,-0.756,470.1558
"333",6,2,0.5744,-0.756,343.0512
"334",5,4,-0.2588,1.1246,337.8955
"336",3,3,-0.1555,-0.756,325.8152
"338",5,2,0.0241,-0.756,462.5585
"339",2,2,-0.5995,-1.1042,492.4762
"340",4,2,-0.2363,-0.756,495.7527
"341",4,3,-0.5212,-1.1042,401.262
"342",5,2,0.8004,-0.756,462.9509
"343",2,4,-0.5259,-0.756,403.0869
"345",4,1,0.1922,-0.756,277.3914
"347",6,2,0.7907,1.1246,365.3563
"348",5,3,1.2343,1.1246,349.8234
"350",4,2,0.0319,0.6942,364.0114
"351",4,3,-0.7139,-0.756,372.7014
"352",5,3,0.177,-0.756,327.6889
"354",6,1,-0.1551,0.1368,372.1308
"355",4,2,0.0612,-0.756,459.0215
"356",4,3,-0.1914,-0.756,393.8515
"357",4,3,0.2488,-0.756,367.9131
"359",2,2,-0.6251,-0.756,399.1497
"361",5,3,-0.4141,-1.1042,534.1495
"362",4,3,-0.0812,-0.756,287.5405
"364",4,3,-0.1926,-0.756,331.0411
"366",4,2,0.4488,-0.756,367.1026
"367",3,3,-0.0538,-0.756,370.0732
"368",6,3,-0.1098,-0.756,309.7683
"372",4,1,1.4207,-0.756,389.0689
"374",4,4,0.0539,-1.2684,355.6898
"375",6,3,0.1096,0.4836,446.4636
"378",4,3,-1.8792,-0.756,365.575
"379",4,2,0.2959,-0.756,399.8025
"382",2,2,-2.7422,-1.1042,412.4845
"390",4,2,0.3569,-0.756,431.4111
"391",4,2,0.2012,-0.756,326.3829
"392",4,3,-0.8504,-0.756,296.1533
"394",4,3,-0.6361,-0.756,328.8229
"395",4,3,-0.3927,-0.039,398.3329
"396",4,3,-0.5197,-2.7886,296.6511
"397",4,3,0.1182,1.1246,346.2486
"399",8,3,0.4442,-0.039,317.5405
"400",4,3,-0.6541,-0.756,290.3491
"402",4,2,-2.0533,0.4417,471.5315
"403",4,2,0.1924,-0.756,325.0576
"404",5,2,-0.3954,-0.756,301.9249
"405",4,2,-0.2099,0.6942,422.5604
"407",3,4,-0.1468,0.2852,366.1906
"408",4,3,-0.1751,-0.756,378.5875
"410",3,1,-0.6858,-0.3481,398.1543
"411",2,2,-0.7812,-1.4248,451.7749
"412",6,3,1.3107,1.1246,390.1889
"413",4,2,0.8268,-0.756,500.5184
"416",4,3,0.6664,0.3308,308.9556
"421",4,2,0.3691,-0.756,378.4097
"422",3,3,0.8757,-0.756,371.8304
"424",4,3,0.8125,-0.756,388.2232
"426",4,3,0.2816,1.1246,425.7126
"427",3,3,-0.2903,-0.756,353.1702
"429",4,3,-0.7795,1.1246,399.6293
"430",4,2,0.6409,0.4417,394.6453
"431",4,1,-0.6637,1.1246,330.6035
"432",4,2,0.1198,-0.756,421.5103
"433",4,4,0.5763,1.1246,300.1326
"434",4,1,-0.0125,-1.1042,457.1008
"435",6,2,0.7053,-0.756,387.6974
"438",6,2,0.8096,-0.756,516.3546
"439",4,3,0.1915,-0.756,266.0424
"440",4,3,-0.7752,1.1246,335.0778
"444",4,4,0.3414,0.3221,290.2835
"446",4,3,-0.5918,0.6942,305.1197
"451",6,3,-0.2136,-0.756,407.8185
"452",3,2,-0.4114,0.6342,340.885
"454",4,3,0.053,-0.756,409.9159
"456",4,2,0.0926,0.6942,378.746
"457",6,4,0.7689,-0.039,502.0233
"460",4,3,-0.2895,-0.756,380.2028
"462",6,2,0.2382,-0.756,524.9883
"463",4,3,-0.2625,1.1246,302.4906
"464",4,1,-0.57,-0.756,429.4979
"466",3,3,-0.469,0.3221,363.3525
"467",4,2,0.7322,-0.756,410.6856
"469",5,2,0.0245,-0.756,384.4489
"470",4,3,-0.3458,-0.756,401.1105
"471",2,3,0.305,1.1246,381.582
"472",6,4,0.7675,1.1246,471.249
"473",6,3,-0.0138,-0.756,336.8035
"474",4,2,0.6214,-0.756,410.1387
"475",3,4,-0.8283,-1.1042,452.8448
"476",4,3,0.6231,-0.756,350.0951
"477",3,3,-0.4866,-0.756,406.502
"478",4,2,-0.0545,-0.756,347.7994
"479",3,3,-0.4262,1.1246,500.8305
"481",4,1,0.279,1.1246,418.998
"482",6,3,-0.8367,-0.756,366.6601
"483",6,3,-1.123,-0.756,474.214
"484",4,3,-0.9604,0.4836,348.1709
"485",2,3,-0.0067,1.1246,450.6801
"486",4,3,-0.7985,-0.756,419.8443
"488",2,2,-0.8896,0.4417,496.4658
"489",5,3,-0.364,-1.15,380.3255
"491",6,3,-0.2538,-0.756,316.7717
"492",2,2,-0.16,1.1246,350.3404
"493",4,3,-0.3628,1.1246,417.8883
"494",6,3,-0.0464,0.6342,380.2496
"496",2,4,0.0826,1.1246,308.1977
"497",5,3,0.071,-0.756,256.6273
"500",6,3,-0.7136,-0.756,305.0492
"503",3,3,-0.6944,-0.0323,367.342
"504",5,3,-0.2004,-0.756,390.9048
"505",4,2,-0.0671,-1.306,374.6799
"506",2,2,0.0518,-1.306,505.4694
"507",4,1,0.8786,0.4417,398.4263
"508",6,3,-0.6407,1.1246,326.8058
"509",4,3,-0.6541,-1.4286,336.3789
"511",3,3,-0.8557,-0.9021,434.8747
"513",2,3,0.0916,0.6942,388.1663
"515",2,3,-0.3721,1.1246,349.5309
"516",4,3,-0.7048,-0.756,406.401
"517",4,2,-0.1721,1.1246,358.1967
"518",4,2,0.0142,-0.756,395.8791
"519",4,3,-0.7172,0.6942,325.0311
"520",5,3,0.388,-0.756,473.3967
"524",4,1,0.3228,-1.1042,429.3499
"527",4,3,-0.3944,-0.756,388.2496
"532",6,2,0.3215,-1.1042,510.5526
"533",4,3,-0.4804,-0.756,355.1239
"534",4,3,0.1954,-0.756,355.7434
"535",2,3,-0.3385,-0.756,398.9711
"537",4,3,-0.7915,-0.756,401.987
"538",4,3,0.4682,-1.1042,339.4644
"539",4,2,-0.2119,-0.756,516.6798
"540",5,4,-1.1313,1.1246,530.2563
"542",4,3,0.6799,-0.756,422.012
"543",4,3,-0.1552,-0.756,439.3197
"544",4,4,0.2907,-0.0974,392.3208
"546",3,2,-0.2046,-1.1042,499.0812
"547",6,2,0.2517,-0.756,398.9609
"548",5,2,-0.1705,-0.756,464.2182
"551",6,2,-2.3201,-1.3019,325.029
"553",4,3,-0.1739,-0.3481,443.3297
"556",4,3,-0.6166,-1.1042,368.0629
"558",4,3,0.2913,-0.756,369.5195
"559",4,3,-0.6266,-0.756,500.3095
"560",3,3,-0.5741,1.1246,486.1642
"563",2,2,-0.8475,0.4417,513.8974
"565",4,3,-0.1981,-0.756,343.2482
"566",5,2,0.7212,-0.756,492.3291
"567",4,4,0.0984,-1.1042,397.6481
"570",5,1,2.6995,1.1246,304.8956
"574",4,3,-0.5839,0.3308,399.8687
"575",7,2,0.8698,-0.756,509.8115
"576",4,3,-0.1368,0.6342,354.4212
"577",4,2,-0.2703,-1.1042,469.2862
"579",4,3,-0.6665,1.1246,283.7111
"580",4,3,0.1048,-0.756,333.4911
"586",5,4,0.4563,0.6942,461.4193
"587",3,2,0.0607,-0.756,477.3946
"588",4,1,-0.7178,-1.1042,433.9779
"589",6,2,-0.5879,1.1246,407.0107
"590",2,3,-1.8811,-0.756,446.4638
"593",4,4,-0.3724,1.1246,453.3199
"596",6,3,0.5366,-0.756,480.6505
"597",4,1,-0.8061,0.6942,450.7702
"598",4,3,0.2779,-1.2684,316.8498
"599",3,1,-0.9922,0.4417,374.1791
"602",4,2,-0.7219,-0.756,405.0715
"604",4,1,0.3581,-0.756,415.5452
